State Name,Region
Alabama,South
Alaska,Pacific Coast
Arizona,Desert Southwest
Arkansas,South
California,Pacific Coast
Colorado,Mountain
Connecticut,Northeast
Delaware,South
District of Columbia,South
Florida,South
Georgia,South
Hawaii,Pacific Coast
Idaho,Mountain
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Kentucky,South
Louisiana,South
Maine,Northeast
Maryland,South
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,South
Missouri,Midwest
Montana,Mountain
Nebraska,Midwest
Nevada,Mountain
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,Desert Southwest
New York,Northeast
North Carolina,South
North Dakota,Midwest
Ohio,Midwest
Oklahoma,Desert Southwest
Oregon,Pacific Northwest
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,South
South Dakota,Midwest
Tennessee,South
Texas,Desert Southwest
Utah,Mountain
Vermont,Northeast
Virginia,South
Washington,Pacific Northwest
West Virginia,South
Wisconsin,Midwest
Wyoming,Mountain
